,text,labels
2217,President Obama promises to save honeybees from extermination,"[0, 0, 1]"
2218,Netflix Reaches Interconnection Deal With Verizon -- Update,"[0, 0, 1]"
2219,Dancing with the Stars 2014: How to vote - Charlie White leads with 27 pts in  ...,"[0, 1, 0]"
2220,Why Does Facebook Want You To Broadcast Your Location To Your Friends?,"[0, 0, 1]"
2221,HP's Second-quarter Revenue Falls Short Of Wall Street's Estimates,"[1, 0, 0]"
2222,Under the Dome Season 2 Scoop: Can Anyone Escape the Dome?,"[0, 1, 0]"
2223,CORRECTED-China Premier Li calls for relevant party to step up plane search,"[1, 0, 0]"
2224,'True Blood' turns up the heat with dream sex scene,"[0, 1, 0]"
2225,Damn Fine News: Twin Peaks Box Set Will Contain Ninety Minutes of New  ...,"[0, 1, 0]"
2226,What's New in iOS 8: Messages,"[0, 0, 1]"
2227,Social Security tax refund seizures suspended while program is reviewed,"[1, 0, 0]"
2228,The Return of Flappy Bird: Creator says popular mobile game will come back,"[0, 0, 1]"
2229,AbbVie raises offer for Irish drugmaker Shire,"[1, 0, 0]"
2230,Could Transcendence Really Happen?,"[0, 1, 0]"
2231,"After two months, Nest smoke detectors now back on sale","[0, 0, 1]"
2232,Belgian inflation dips to 4-year low ahead of crunch ECB meeting,"[1, 0, 0]"
2233,"Charges Against Paul Simon, Edie Brickell Dropped","[0, 1, 0]"
2234,Ford profit tumbles 39% in first quarter,"[1, 0, 0]"
2235,"Retail IT News For VARs — April 18, 2014","[0, 0, 1]"
2236,Christians observe Chare Thursday,"[0, 1, 0]"
2237,Jamie Lynn Spears Is Getting Married Today,"[0, 1, 0]"
2238,"There's No Stopping Tesla Motors, Inc.'s Supercharger Network Now","[0, 0, 1]"
2239,"BP warns against Russia sanctions World July 29, 12:49","[1, 0, 0]"
2240,"Apple, IBM announce partnership for business apps, services","[0, 0, 1]"
2241,Chad Smith and Will Ferrell drum-off: Who do you think won?,"[0, 1, 0]"
2242,Rice Theory: Why Eastern Cultures Are More Cooperative,"[1, 0, 0]"
2243,Oil Slips below $104 as Libya Prepares to Boost Exports,"[1, 0, 0]"
2244,Darden Restaurants (NYSE: DRI) to Sell Red Lobster for $2.1 Billion,"[1, 0, 0]"
2245,"Scandal Style Breakdown: Olivia Pope's Blazer, Mellie's Red Dress From Kiss  ...","[0, 1, 0]"
2246,Smithsonian wants unearthed Atari games,"[0, 0, 1]"
2247,"Citi profit dips, hurt by $7bn settlement","[1, 0, 0]"
2248,Kim Kardashian Flaunts Figure in Sexy Black Jumpsuit With Deep V-Neck  ...,"[0, 1, 0]"
2249,"House committee seeks GM, NHTSA recall documents","[0, 0, 1]"
2250,ECB Says Banks Show Signs of Relaxing Loan Conditions,"[1, 0, 0]"
2251,Exploding tyre sets Miley Cyrus' tour bus on fire,"[0, 1, 0]"
2252,Medtronic Offers R&D Sweetener with Covidien Tax Maneuver; Atos Plans  ...,"[1, 0, 0]"
2253,Courtney Love had 'bad' time with Kurt Cobain,"[0, 1, 0]"
2254,"Rosie O'Donnell, 9/11 Truther and Hater of 'Radical Christianity,' Returns to 'The  ...","[0, 1, 0]"
2255,Facebook Slings New Photo/Video Messaging App,"[0, 0, 1]"
2256,"Beyonc&#233; Wants to Ban the Word 'Bossy,' Too","[0, 1, 0]"
2257,British Prime Minister David Cameron leads tributes for UK film veteran Richard  ...,"[0, 1, 0]"
2258,Jordin Sparks Sparkles In A Fierce Mini At The 2014 Billboard Music Awards!,"[0, 1, 0]"
2259,"NSA Used Facebook to Plant Malware on User PCs, Report Says","[0, 0, 1]"
2260,Yellen says Federal Reserve considering tougher rules for big banks,"[1, 0, 0]"
2261,MIT Engineers Design 'Living Materials',"[0, 0, 1]"
2262,Washington pot shops facing supply shortage?,"[1, 0, 0]"
2263,Airbnb Could Be Joining the $10 Billion Valuation Club,"[1, 0, 0]"
2264,Box Files for $250M IPO,"[1, 0, 0]"
2265,"Virus kills millions of piglets, consumers pay the price","[1, 0, 0]"
2266,Give Us A Song! It's A Les Miserables Reunion At The Noah Premiere For Hugh  ...,"[0, 1, 0]"
2267,Kerry lays ground for Modi-Obama Summit,"[1, 0, 0]"
2268,"The Walking Dead review: ""A""","[0, 1, 0]"
2269,“ECB chief Mario Draghi warns of threat to eurozone recovery”,"[1, 0, 0]"
2270,"Michael Palin: ""The best decision I ever made… agreeing to present Around the  ...","[0, 1, 0]"
2271,AstraZeneca-Pfizer: Investors split over bid rejection,"[1, 0, 0]"
2272,"Jimmy Scott, jazzman with man-child voice, dies at 88","[0, 1, 0]"
2273,Australia seeks contractor to take over flight MH370 search,"[1, 0, 0]"
2274,"Health care, tech names lead decline in US stocks","[1, 0, 0]"
2275,"Starting From The Bottom: First Trailer For New Batman Prequel, 'Gotham'","[0, 1, 0]"
2276,Tim Hortons Given New $90.00 Price Target at KeyCorp (THI),"[1, 0, 0]"
2277,Johnson & Johnson 1st quarter profits rise on strong prescription drug sales,"[1, 0, 0]"
2278,Twin tragedies push MAS to the brink,"[1, 0, 0]"
2279,"Xbox One External Storage, Real Names Coming in June Update","[0, 0, 1]"
2280,"ECB's Noyer warns against deficit cuts, debt accumulation","[1, 0, 0]"
2281,Argentina says BoNY breaching contract in debt dispute,"[1, 0, 0]"
2282,Dollar stable in Asia after surging on ECB talks,"[1, 0, 0]"
2283,Greening Africa's Economy,"[1, 0, 0]"
2284,"LG G Watch Available in Select US Retailers, Best Buy Included","[0, 0, 1]"
2285,U.S. fossil discovery shows biggest-known flying seabird,"[0, 0, 1]"
2286,The NSA tweeted a mysterious coded message - here's why they did it and what  ...,"[0, 0, 1]"
2287,Fitch Affirms HSBC's Covered Bonds at 'AAA' on Implementation of Updated  ...,"[1, 0, 0]"
2288,Adam Levine reveals he doesn't act for money,"[0, 1, 0]"
2289,S&P Poised to Pause After Best Rally Since May,"[1, 0, 0]"
2290,EU election: Far-right wins big amid wider eurosceptic and anti-austerity victory,"[1, 0, 0]"
2291,Is Beyoncé house hunting alone?,"[0, 1, 0]"
2292,Samsung Galaxy K Zoom officially revealed: 10x optical zoom in a 4.8in  ...,"[0, 0, 1]"
2293,"Apple quietly updates Macbook Air range, slashes price by £100","[0, 0, 1]"
2294,"Review: 'Guardians of the Galaxy' is irreverent, but doesn't go far enough","[0, 1, 0]"
2295,Mystery Tweeter planting cash in envelopes across S.F.,"[1, 0, 0]"
2296,"US employers add 209K jobs, rate rises to 6.2 pct.","[1, 0, 0]"
2297,MTV gives it up for dance music in 2014 VMAs nominations,"[0, 1, 0]"
2298,"With legal marijuana, Washington joins an exclusive club","[1, 0, 0]"
2299,"'HIMYM' Finale Disappointing? Why Tracy's Death, Robin And Barney's Divorce  ...","[0, 1, 0]"
2300,"DDP Talks Meeting Ultimate Warrior In WCW, WWE's ""Self Destruction DVD  ...","[0, 1, 0]"
2301,Tesla Patents Go Open Source,"[0, 0, 1]"
2302,"Mortgage Interest Rates Up at Bank of America, Commerce Friday Mar 21","[1, 0, 0]"
2303,LIVE: HTC Is About To Announce Its Successor To The Best Android Phone In  ...,"[0, 0, 1]"
2304,Toyota Settles For $1.2 Billion,"[0, 0, 1]"
2305,"Wildfires worse due to global warming, study finds","[0, 0, 1]"
2306,Amazon Woos Mobile Developers Ahead of Smartphone Launch,"[0, 0, 1]"
2307,OS X Yosemite: Top Five Features,"[0, 0, 1]"
2308,"Amazon Planning Free TV, Music Service: WSJ","[0, 0, 1]"
2309,"Angus T. Jones Calls Himself a ""Paid Hypocrite"" on Two and a Half Men","[0, 1, 0]"
2310,Samsung unveils Galaxy Tab S devices with octa-core processors to rival iPad Air,"[0, 0, 1]"
2311,China warns US over Hong Kong,"[0, 1, 0]"
2312,"Lesser Prairie Chicken listed as threatened species, Inhofe aide says","[0, 0, 1]"
2313,CAPTAIN AMERICA star CHRIS EVANS has laughed off reports suggesting he's  ...,"[0, 1, 0]"
2314,GM Creates Vice President of Global Vehicle Safety Position,"[1, 0, 0]"
2315,Darden investor: Red Lobster sale is 'destructive and self-serving',"[1, 0, 0]"
2316,"TRULIA, INC. SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Announces  ...","[1, 0, 0]"
2317,6 things we learned from Alice on 'The Brady Bunch',"[0, 1, 0]"
2318,"Rihanna Refuses To Meet Charlie Sheen, Calls Him An “Old Queen”","[0, 1, 0]"
2319,"Pharrell, Muse and Lorde reign over Coachella night two","[0, 1, 0]"
2320,Social media reports from TD Garden after dozens hospitalized,"[0, 1, 0]"
2321,"Ruby Dee dies, aged 91","[0, 1, 0]"
2322,Will the post office end door-to-door delivery?,"[0, 0, 1]"
2323,Kevin Binkley Passed Over Again at The 2014 James Beard Awards,"[0, 1, 0]"
2324,GM announced recalls for 430K vehicles,"[0, 0, 1]"
2325,Chilling Details: Tupac's Final Words … “F*ck You!”,"[0, 1, 0]"
2326,"'Fifty Shades,' 'Fast,' 'Dumber' teased in Vegas","[0, 1, 0]"
2327,Largest dinosaur discovered,"[0, 0, 1]"
2328,Hunger Games Mocking Jay trailer 2 brings the heat,"[0, 1, 0]"
2329,Why Netflix May Be in Serious Trouble,"[0, 0, 1]"
2330,"Tesla, Tata Send Automakers Up Industry Ranks TSLA TTM","[1, 0, 0]"
2331,Draghi spells it out,"[1, 0, 0]"
2332,Kim Kardashian and Kanye West tied the knot in Italy,"[0, 1, 0]"
2333,British inflation slows again to 1.5%,"[1, 0, 0]"
2334,Swiss probe top banks for currency rigging,"[1, 0, 0]"
2335,God help us: Lily Allen and Miley Cyrus team up for joint tour,"[0, 1, 0]"
2336,THE NEWS WRAP: Expert-curated music streaming service Songza acquired by  ...,"[0, 0, 1]"
2337,European Markets Trade Flat,"[1, 0, 0]"
2338,Five-year-old discovers MAJOR Xbox One security hack,"[0, 0, 1]"
2339,"Tyler, The Creator Arrested Following Incident at SXSW","[0, 1, 0]"
2340,True Blood Season 7 Trailer Released: Get the First Look! (VIDEO),"[0, 1, 0]"
2341,"Dollar's rate debilitated against Japanese yen on Forex by 0, 72% throughout  ...","[1, 0, 0]"
2342,Lizard Squad Tweet Attack On Microsoft Xbox Live After PlayStation Network  ...,"[0, 0, 1]"
2343,Discovery network cancels Everest jump,"[0, 1, 0]"
2344,'Veronica Mars' movie review: Fan-funded movie gives the people what they want,"[0, 1, 0]"
2345,Robert Downey Jr. Tweets 'Avengers: Age Of Ultron' Set Photo,"[0, 1, 0]"
2346,'50 Shades of Grey' Movie PHOTO: Christian Grey's First Official Picture Released,"[0, 1, 0]"
2347,OkCupid admits it experimented on its users,"[0, 0, 1]"
2348,Walmart and Wild Oats Launch Effort to Drive Down Organic Food Prices,"[1, 0, 0]"
2349,European Factors to Watch-Shares to make positive start to Q2,"[1, 0, 0]"
2350,Meteor Shower Could Put on a Show in the Sky,"[0, 0, 1]"
2351,Apple orchestrating $3.2 billion acquisition of Beats Electronics,"[0, 0, 1]"
2352,Google starts deleting some search results at users' request,"[0, 0, 1]"
2353,Home » Opinions » LG G3 vs G2 – What is different?,"[0, 0, 1]"
2354,Alibaba Builds With Big Investments Ahead of IPO,"[1, 0, 0]"
2355,GM asks customers to use single key until repairs are made,"[0, 0, 1]"
2356,Loonie Firm As US Manufacturing Numbers Slide,"[1, 0, 0]"
2357,"Review: Amid 'Rio 2's' cacophony, the musical numbers shine","[0, 1, 0]"
2358,Jennifer Lawrence on the time Miley Cyrus told her to 'get it together',"[0, 1, 0]"
2359,Kim Kardashian Shares Bikini Photos From Mexico,"[0, 1, 0]"
2360,Starbucks wireless charging may not be such a great tech brew,"[0, 0, 1]"
2361,Johnson & Johnson Reports Higher Earnings -- 2nd Update,"[1, 0, 0]"
2362,True colours,"[1, 0, 0]"
2363,"Jolie, McCartney Partner On Maleficent Clothing Line For Kids","[0, 1, 0]"
2364,Coachella 2014: Campers live the good life at festival,"[0, 1, 0]"
2365,Oculus VR dragged to court,"[0, 0, 1]"
2366,"Google Glass Release Date: April 15 Is The Day! Find Out Where To Buy, Price  ...","[0, 0, 1]"
2367,"Coachella 2014: Outkast reunite, celebs rock out","[0, 1, 0]"
2368,LG Optimus G Pro updated to Android 4.4 on AT&T,"[0, 0, 1]"
2369,"With Big Obstacles Ahead, Tesla Still Isn't Checking Its Rear View","[1, 0, 0]"
2370,BOE And ECB To Hold Policy For Yet Another Month,"[1, 0, 0]"
2371,JPMorgan Chase profit falls 19 percent in Q1,"[1, 0, 0]"
2372,Why is Intel Corporation Soaring Today?,"[1, 0, 0]"
2373,Will An Ongoing Investigation Over Possible Tax Evasion Hurt Credit Suisse (CS  ...,"[1, 0, 0]"
2374,"M&A talk lifts European shares, euro dips to 2 week low","[1, 0, 0]"
2375,Record store day brings out the crowds in Newport,"[0, 1, 0]"
2376,Stacy Keibler marries boyfriend of seven months Jared Pobre in surprise beach  ...,"[0, 1, 0]"
2377,GM adding 971000 vehicles to ignition recall - KCTV5,"[1, 0, 0]"
2378,Lorde's “Royals” gets the Weird Al “FOIL” parody treatment in music video,"[0, 1, 0]"
2379,Messy Protest Shows Rising Hong Kong Fears About China,"[1, 0, 0]"
2380,Investigators: Unsafe speed caused Paul Walker's crash,"[0, 1, 0]"
2381,NJ Transit says LIRR strike would not disrupt service at New York Penn Station,"[1, 0, 0]"
2382,Justin Bieber Gets ANOTHER New Tattoo - See Pics Here!,"[0, 1, 0]"
2383,Crowe surprised by Noah controversy,"[0, 1, 0]"
2384,Did an undisclosed SMF 2.0.6 flaw enable the AVAST forum breach?,"[0, 0, 1]"
2385,Pay raises going mainly to those in select industries,"[1, 0, 0]"
2386,'KUWTK' Pregnant Kourtney and Khloe Kardashian Divorce and Breakup  ...,"[0, 1, 0]"
2387,"Asian stocks go sideways as investors await Fed meeting, Nikkei stumbles on  ...","[1, 0, 0]"
2388,Facebook's Zuckerberg Ordered to Iran Over Privacy Charge,"[0, 0, 1]"
2389,Reflections Upon the Heroic Death of Archie Andrews,"[0, 1, 0]"
2390,CORRECTED-UPDATE 1-Pilgrim's Pride offers to buy Hillshire in $6.4 bln deal,"[1, 0, 0]"
2391,BMW confirms new Mexican plant,"[1, 0, 0]"
2392,VIDEO: Has Beyonce just added fuel to the Jay Z infidelity rumours fire?,"[0, 1, 0]"
2393,William Shatner receives NASA's highest civilian honor,"[0, 0, 1]"
2394,GM May Sales Rise 8.4% Despite Corporate Recall Mess,"[1, 0, 0]"
2395,Stock futures drift lower on Wall Street,"[1, 0, 0]"
2396,Watch Lindsay Lohan Docu-Series Online: Oprah Winfrey Asks Lohan If She's  ...,"[0, 1, 0]"
2397,India says US snooping 'completely unacceptable',"[1, 0, 0]"
2398,Meryl Davis Dancing With the Stars Foxtrot Video 3/31/14 #DWTS,"[0, 1, 0]"
2399,Janet Yellen's Remarks to National Interagency Community Reinvestment  ...,"[1, 0, 0]"
2400,Who's Afraid of Suey Park?,"[0, 1, 0]"
2401,California water wasters could be fined $500 a day,"[1, 0, 0]"
2402,Total lunar eclipse turns the Moon blood red,"[0, 0, 1]"
2403,X-Men director accused,"[0, 1, 0]"
2404,California investor wins federal government's bitcoin auction,"[1, 0, 0]"
2405,A Look at Case-Shiller by Metro Area,"[1, 0, 0]"
2406,Court ruling affects Google searches for names,"[0, 0, 1]"
2407,Shocking CEO downfalls,"[1, 0, 0]"
2408,HP to invest over $1 bln in open-source cloud computing,"[0, 0, 1]"
2409,Twitter hit as stocks finish sharply lower,"[1, 0, 0]"
2410,Sir Mick Jagger - L'Wren Scott's death confirmed as suicide,"[0, 1, 0]"
2411,Prince Harry and girlfriend Cressida Bonas cosy up at We Day UK,"[0, 1, 0]"
2412,Japanese Automakers Recall Almost 3 Million Cars For A Second Time,"[0, 0, 1]"
2413,Netflix Opposes Comcast-Time Warner Merger,"[0, 0, 1]"
2414,The Affordable Health Care Act's Impact on Vision Care,"[1, 0, 0]"
2415,"MH370 Update: Courtney Love probably found it, and no Chinese terrorists","[0, 1, 0]"
2416,Political Correctness Brings down Tech CEO,"[0, 0, 1]"
2417,A look at glam celebrity weddings of late,"[0, 1, 0]"
2418,Megan Fox Proves Her Beauty Isn't The Result Of Makeup With This Bare-Faced  ...,"[0, 1, 0]"
2419,Garth Brooks debacle has 'tarnished' Irish reputation,"[0, 1, 0]"
2420,Who Will Replace Colbert at Comedy Central?,"[0, 1, 0]"
2421,Target CEO resigns months after cyber crooks stole credit info from millions of  ...,"[1, 0, 0]"
2422,​Who is to blame for Argentina's default?,"[1, 0, 0]"
2423,"Extreme right, Eurosceptics gain ground in European Parliament elections","[1, 0, 0]"
2424,Ancient Soil Preserved beneath Greenland Glaciers help Gain Insight into  ...,"[0, 0, 1]"
2425,Dow Jones Industrial Average Heads South; Argentina in Focus,"[1, 0, 0]"
2426,Microsoft confirms China investigation,"[0, 0, 1]"
2427,"Stocks slip, pulling S&P 500 below record high","[1, 0, 0]"
2428,Top 10 movies and the Weekend box office (04/13/14),"[0, 1, 0]"
2429,Report lists top 5 people who would want the 'right to be forgotten',"[0, 0, 1]"
2430,Box Office: 4th of July Weekend Down 40% Over Last Year,"[0, 1, 0]"
2431,Internet milestone: Portland City Council approves Google Fiber project,"[0, 0, 1]"
2432,Coldwater Creek in Wausau closing,"[1, 0, 0]"
2433,Euro Lags As Investors Look To PMI Data,"[1, 0, 0]"
2434,eBay urges users to change passwords after breach,"[0, 0, 1]"
2435,One Direction members caught in video smoking a joint,"[0, 1, 0]"
2436,Set Report: OutKast atCoachella 2014,"[0, 1, 0]"
2437,Now you can shop on Amazon from the comfort of Twitter,"[1, 0, 0]"
2438,Amazon Preparing to Launch a Subscription Book Service,"[0, 0, 1]"
2439,Kardashian's 'Vogue' cover sparks backlash,"[0, 1, 0]"
2440,The Oldest Human Poop Tells Us Neanderthals Ate Plants,"[0, 0, 1]"
2441,UK Industrial Growth Slows Sharply,"[1, 0, 0]"
2442,"Wow, Kanye West! Kim Kardashian shows off new 'blonde hair' and feels like a  ...","[0, 1, 0]"
2443,How we met the finale: 'HIMYM' best gags,"[0, 1, 0]"
2444,"Latest On Leaked WWE SummerSlam 2014 Poster, Extreme Rules PPV Buys  ...","[1, 0, 0]"
2445,"Actor Eli Wallach, star of Good, Bad and the Ugly and The Magnificent Seven  ...","[0, 1, 0]"
2446,Stocks move mostly higher on Wall Street,"[1, 0, 0]"
2447,"Lady Gaga 'G.U.Y.' video debuts, features Bravo stars Andy Cohen and Beverly  ...","[0, 1, 0]"
2448,Dave Chappelle and Nas to Perform Together at Radio City Music Hall,"[0, 1, 0]"
2449,Google buys drone startup Titan Aerospace,"[0, 0, 1]"
2450,Robert De Niro boards Idol's Eye,"[0, 1, 0]"
2451,Net Neutrality Fervor Nears Janet Jackson Wardrobe Malfunction Levels,"[0, 0, 1]"
2452,NPD Group: PS4 Tops Xbox One In March Despite Titanfall's High Sales,"[0, 0, 1]"
2453,Unilever sells Ragu & Bertolli pasta sauces for $2.15 bln,"[1, 0, 0]"
2454,Holiday drivers expected to shrug off high gas prices,"[1, 0, 0]"
2455,Target's chairman and CEO out after breach,"[1, 0, 0]"
2456,Is All this Rain Making Grain?,"[1, 0, 0]"
2457,Digital cos demand probe against Google's anti-competitive practices,"[0, 0, 1]"
2458,US reaches $1.2 billion settlement with Toyota after 4-year investigation into  ...,"[0, 0, 1]"
2459,Smith and Nephew leads FTSE lower as bid hopes fade,"[1, 0, 0]"
2460,Monday Morning Critic – Why Guardians of the Galaxy Is Marvel Studios' Biggest  ...,"[0, 1, 0]"
2461,Life Is a Box of Chocolates for Russell Stover on Lindt Buyout,"[1, 0, 0]"
2462,'X-Men: Days of Future Past' official trailer released: Watch the video!,"[0, 1, 0]"
2463,LG G3 vs. Galaxy Note 3: LG's phone stacks up well to Samsung's phablet,"[0, 0, 1]"
2464,"Dollar edges higher vs. yen, euro little changed","[1, 0, 0]"
2465,"Marvel Is Making Thor A Woman! So, What Does That Mean For Chris  ...","[0, 1, 0]"
2466,GM Recalls 60000 Saturns to Fix Gear Shifts,"[0, 0, 1]"
2467,How Many Famous Gals Can You Name In Taylor Swift's Independence Day  ...,"[0, 1, 0]"
2468,Facebook app gets creepy (but helps you miss TV show spoilers),"[0, 0, 1]"
2469,Amazon expected to show off Apple TV competitor on April 2,"[0, 0, 1]"
2470,Facebook seeks EU approval for WhatsApp acquisition,"[0, 0, 1]"
2471,Chris Evans and Sebastian Stan Join Marvel Entertainment Executives to  ...,"[0, 1, 0]"
2472,"Heartbleed bug could extend to printers, routers, other devices","[0, 0, 1]"
2473,Energy Department Announces Projects to Advance Cost-Effective  ...,"[1, 0, 0]"
2474,"HTC One (M8) announced: Where, when and how to get it","[0, 0, 1]"
2475,Milestone for Iraqi Kurds: Tanker Departs Ceyhan With Kurdish Oil,"[1, 0, 0]"
2476,Missing Malaysia plane said to have flown west with beacon off,"[1, 0, 0]"
2477,Google Begins April Fools' Day With Pokemon Prank,"[0, 0, 1]"
2478,Rare stamp fetches $9.5 million in an auction,"[0, 1, 0]"
2479,"There is no meaningful difference between Tea Party and ""establishment  ...","[0, 0, 1]"
2480,WTVM's Tribute to Michael Jackson,"[0, 1, 0]"
2481,India says keen to engage in strategic dialogue with US during Kerry's visit Jul  ...,"[1, 0, 0]"
2482,Netflix reaches paid peering interconnection agreement with Verizon,"[0, 0, 1]"
2483,Julia Louis-Dreyfus gets naked for Rolling Stone cover,"[0, 1, 0]"
2484,HealthCare.gov Site Flagged in Heartbleed Review,"[0, 0, 1]"
2485,Selena Gomez and Justin Bieber Dating? Rumors Couple Back Together as  ...,"[0, 1, 0]"
2486,Galaxy Tab S: Samsung boasts of 'industry-leading' features,"[0, 0, 1]"
2487,"Here's What Kourtney, Khloé and Kylie Were Up To While Kim and Kendall Hit  ...","[0, 1, 0]"
2488,General Motors to be investigated by congressional committee for slow recall effort,"[0, 0, 1]"
2489,The 'HIMYM' Gang Grows Up In Emotional Series Finale,"[0, 1, 0]"
2490,Deadline Day,"[1, 0, 0]"
2491,Squirrel blamed for $300K damage to Ind. building,"[1, 0, 0]"
2492,AstraZeneca Pipeline Is Lottery in Tax-Fed Pfizer Pursuit,"[1, 0, 0]"
2493,GM adds Camaros on recall list,"[0, 0, 1]"
2494,Mattel slides as weak Barbie sales hurt Q2 results,"[1, 0, 0]"
2495,"Trending: HIMYM Finale, Big Papi's President Selfie, Lion King On A Plane","[0, 1, 0]"
2496,IMF offers Ukraine up to $18 billion in loans,"[1, 0, 0]"
2497,AAA: July 4 weekend travel expected to increase 2 percent,"[1, 0, 0]"
2498,#GoogleIO2014: Google Fit to rival Apple's HealtKit,"[0, 0, 1]"
2499,Right to be forgotten: Debate continues,"[0, 0, 1]"
2500,New 'Batmobile' Teased,"[0, 1, 0]"
2501,European Aid for Bulgarian Banks,"[1, 0, 0]"
2502,Jerry Lewis Makes Funny Faces & Gets His Hands Dirty At Hollywood Ceremony,"[0, 1, 0]"
2503,Gas prices drop in metro Savannah,"[0, 0, 1]"
2504,Samsung Galaxy S5 Active vs. Sony Xperia Z2: Specifications And Price  ...,"[0, 0, 1]"
2505,Google's self-driving car has no steering wheel,"[0, 0, 1]"
2506,Northern Pacific whale hunt to push through after Obama visit,"[0, 0, 1]"
2507,Game Congratulates Dr. Dre On Beats Electronics-Apple Deal,"[0, 0, 1]"
2508,Google accused of taking too long to report Heartbleed bug,"[0, 0, 1]"
2509,Brand new meteor shower making debut Saturday,"[0, 0, 1]"
2510,"US stocks: Wall Street ends higher on M&A, Citi earnings","[1, 0, 0]"
2511,"Powdered booze, overlooked by feds, gets banned","[0, 1, 0]"
2512,Graco Recalls Infant Child Seats,"[0, 0, 1]"
2513,Android 4.4 KitKat Available For ATT HTC One Mini,"[0, 0, 1]"
2514,Who is David Muir? (Other than Diane Sawyer's new 'Evening News' replacement),"[0, 1, 0]"
2515,Some airlines drop limes from drinks,"[1, 0, 0]"
2516,"Mortgage Interest Rates Remain Steady at Chase Bank on March 19, 2014","[1, 0, 0]"
2517,Queen To Unleash Compilation This Year Featuring Unreleased Tracks From  ...,"[0, 1, 0]"
2518,Zebra pays $3.45 billion for Motorola's mobile business unit,"[1, 0, 0]"
2519,SiriusXM fires 'Opie & Anthony' host over 'hate-filled' tweets,"[0, 1, 0]"
2520,Amaya Acquires Online Gambling Firm Rational Group,"[1, 0, 0]"
2521,NASA OKs space station visit despite dead computer,"[0, 0, 1]"
2522,GameStop Rising: FYQ2 EPS Beats;,"[1, 0, 0]"
2523,Suzuki recalls cars built by GM,"[0, 0, 1]"
2524,"With Carousel App, Dropbox Wants to Preserve All Your Photos, Forever","[0, 0, 1]"
2525,US Stocks Slip Ahead of Data,"[1, 0, 0]"
2526,Apple patent aims to keep idiots from falling into mall fountains,"[0, 0, 1]"
2527,Poetic finale for True Detective,"[0, 1, 0]"
2528,Report: NSA Plans to Infect 'Millions' of Computers With Malware,"[0, 0, 1]"
2529,Activision faces lawsuit from former Panama dictator,"[0, 0, 1]"
2530,'Veronica Mars' favorites debut film at SXSW,"[0, 1, 0]"
2531,Katherine Heigl vs. A Tweet,"[0, 1, 0]"
2532,Gay activist stirs up Fox panel: 'Would you fire a CEO who denied the Holocaust?',"[0, 0, 1]"
2533,"Denon, Marantz, Pioneer, Onkyo, Integra Reveal Dolby Atmos-Equipped Home  ...","[0, 0, 1]"
2534,Finjan Holdings Set To Join Russell Microcap Index,"[1, 0, 0]"
2535,"Facebook sets sights on fitness by buying activity-tracking app, Moves","[0, 0, 1]"
2536,"The Best, First Virtual Reality Game for Physics Fanatics","[0, 0, 1]"
2537,Climate change may lead India to war: UN report,"[0, 0, 1]"
2538,Dow And S 500 Index Close At Record Levels,"[1, 0, 0]"
2539,Rubio: No 'eject button' if he runs for president,"[0, 0, 1]"
2540,"Man Storms Cannes Red Carpet, Runs & Hides Under America Ferrera's Dress  ...","[0, 1, 0]"
2541,Mozilla gives up on Metro mode Firefox,"[0, 0, 1]"
2542,"NFL Sunday Ticket, no satellite subscription needed","[0, 0, 1]"
2543,Alibaba US IPO: Firm Reveals More Details About Business in Revised Prospectus,"[1, 0, 0]"
2544,'Star Wars: Episode VII' Adds Two More Names + Fake Set Footage,"[0, 1, 0]"
2545,Is Tropico 5 worth getting? Find out in our review round-up,"[0, 0, 1]"
2546,Nokia's Rajeev Suri makes Manipal Institute of Technology proud,"[0, 0, 1]"
2547,Investors Buy Large Volume of Put Options on Krispy Kreme Doughnuts (KKD),"[1, 0, 0]"
2548,Iran denies summoning Facebook CEO Zuckerberg to court,"[0, 0, 1]"
2549,George Clooney's Ex Stacy Keibler Marries Boyfriend Of Seven Months Jared  ...,"[0, 1, 0]"
2550,"BRIEF: 3 armed men rob Scotty McCreery, friends at his apartment","[0, 1, 0]"
2551,Robin Thicke shows off new super short hair a day before his Billboard  ...,"[0, 1, 0]"
2552,Nasa rover breaks distance record,"[0, 0, 1]"
2553,Chrysler recalls 30K Fiat 500Ls to fix air bags defect,"[1, 0, 0]"
2554,Australia 'sub-trend as others recover',"[1, 0, 0]"
2555,Google eyes your home with security cameras,"[0, 0, 1]"
2556,Weird Al Yankovic takes on Pharrell Williams with 'Tacky',"[0, 1, 0]"
2557,SOMERSET COUNTY: United Way might be able to help with last-minute tax filing,"[1, 0, 0]"
2558,PlayStation Maintenance Rescheduled After DDoS Attack,"[0, 0, 1]"
2559,Dawn of the Planet of the Apes TV Trailer: That's a Lot More Than 80!,"[0, 1, 0]"
2560,Eurotunnel Passengers Face 6-Hour Delays After Train Fault Leaves Hundreds  ...,"[1, 0, 0]"
2561,GM Adds 1.18M SUVs in Latest Recall,"[1, 0, 0]"
2562,Strike Looms: Will SEPTA Regional Rail Stop?,"[1, 0, 0]"
2563,Jack White claims vinyl record,"[0, 1, 0]"
2564,Facebook is killing messaging in its main mobile app and pushing Facebook  ...,"[0, 0, 1]"
2565,"Prince to release new album and music with female band 3RDEYEGIRL, first  ...","[0, 1, 0]"
